"stage_id","status","solver_entered","accepted","rejected_or_quarantined","replay_count","main_report","main_artifact","conclusion","current_relevance","superseded","paper_a_relevance"
"H1F0","PASS_ZERO_SOLVER","0","0","0","0","reports/stage_h1f0_lp_route_closure/h1f0_summary.md","reports/stage_h1f0_lp_route_closure/h1f0_ml_role_audit.json","K6 coupling-aware level0 design only","archive","false","not mainline"
"H1F1","FULLWAVE_COMPLETE","6","6","0","0","reports/stage_h1f1_k6_coupling_level0/h1f1_summary.md","reports/stage_h1f1_k6_coupling_level0/h1f1_final.json","K6_COUPLING_AWARE_SIGNAL_WEAK","frozen K6 evidence","false","not mainline"
"H1F2","FULLWAVE_COMPLETE","6","6","0","0","reports/stage_h1f2_k6_frontier_level1/h1f2_summary.md","reports/stage_h1f2_k6_frontier_level1/h1f2_final.json","frontier level1","frozen K6 evidence","false","not mainline"
"H1F3A","PASS_ZERO_SOLVER_AUDIT","0","0","0","0","reports/stage_h1f3a_k6_level2_grammar_audit/h1f3a_summary.md","reports/stage_h1f3a_k6_level2_grammar_audit/h1f3a_final.json","LOW_DIMENSIONAL_POSITION_MODE_FIRST","route diagnostic","false","not mainline"
"H1F3B","FULLWAVE_COMPLETE","8","8","0","0","reports/stage_h1f3b_k6_position_mode_level2/h1f3b_summary.md","reports/stage_h1f3b_k6_position_mode_level2/h1f3b_final.json","POSITION_MODE_RESPONSE_WEAK","frozen K6 evidence","false","not mainline"
"H1F3C0","PASS_ZERO_SOLVER","0","0","0","0","reports/stage_h1f3c0_helper_history_recovery/helper_summary.md","reports/stage_h1f3c0_helper_history_recovery","HELPER_PROMISING_LEGACY_EVIDENCE_ONLY","legacy only","false","not formal champion"
"H1F3C1","COMPLETE","2","2","0","0","reports/stage_h1f3c1_helper_current_formal_revalidation/README.md","reports/stage_h1f3c1_helper_current_formal_revalidation/execution_results.json","CONCURRENCY_3_PRODUCTION_OBSERVATION_PASS","formal helper evidence","false","possible reuse only"
"H1F4A_P1","FULLWAVE_COMPLETE","8","8","0","0","reports/stage_h1f4a_grouped_d_first_harmonic_jacobian_probe/h1f4a_conclusion.md","reports/stage_h1f4a_grouped_d_first_harmonic_jacobian_probe/h1f4a_jacobian_summary.json","GROUPED_D_FIRST_HARMONIC_PHASE1_LEVERAGE_OBSERVED","frozen grouped-D evidence","false","not mainline"
"H1F4A_P2","FULLWAVE_COMPLETE","4","4","0","0","reports/stage_h1f4a_phase2_grouped_d_transfer_validation/h1f4a_phase2_conclusion.md","reports/stage_h1f4a_phase2_grouped_d_transfer_validation/h1f4a_phase2_transfer_analysis.json","GROUPED_D_PHASE2_TRANSFER_PARTIAL","frozen grouped-D evidence","false","not mainline"
"H1F4B0","PASS_ZERO_SOLVER_AUDIT","0","0","0","0","reports/stage_h1f4b0_secondary_compensator_grammar_audit/h1f4b0_summary.md","reports/stage_h1f4b0_secondary_compensator_grammar_audit/h1f4b0_route_decision.json","J1 anisotropy compensator probe ready","superseded by B1/B2","true","not mainline"
"H1F4B1","FULLWAVE_COMPLETE","4","4","0","0","reports/stage_h1f4b1_j1_anisotropy_fullk6_compensator_probe/h1f4b1_summary.md","reports/stage_h1f4b1_j1_anisotropy_fullk6_compensator_probe/h1f4b1_jacobian_cancellation_analysis.json","J1_ANISOTROPY_FULLK6_COMPENSATOR_LEVER_PARTIAL","frozen K6 evidence","false","not mainline"
"H1F4B2","FULLWAVE_COMPLETE","4","4","0","0","reports/stage_h1f4b2_grouped_d_j1_combined_local_validation/h1f4b2_summary.md","reports/stage_h1f4b2_grouped_d_j1_combined_local_validation/h1f4b2_observed_analysis.json","GROUPED_D_PLUS_J1_CANCELLATION_FAILED","historical failure preserved","false","not mainline"
"H1F4B2A","COMPLETE_ZERO_SOLVER_FORENSIC","0","0","0","0","reports/stage_h1f4b2a_combined_objective_aligned_forensic/h1f4b2a_summary.md","reports/stage_h1f4b2a_combined_objective_aligned_forensic/h1f4b2a_forensic_summary.json","TWO_LEVER_LINEAR_MODEL_BREAKDOWN_CONFIRMED; COMBINED_OBJECTIVE_RESPONSE_PARTIAL_BROADBAND_UNRESOLVED","current final K6 interpretation","false","not mainline"
"LPML_HISTORICAL_ARCHIVE","PAUSED_ARCHIVED","historical varied","see dataset inventory","see reports","see reports","reports/lp_ml0_existing_data_audit.md","outputs/lp_ml_dataset_v1","LP ML archived; no automatic resume","Paper A no longer depends on LP ML","by closeout governance","historical only"
