canonical_label_name,original_field_name,physical_meaning,unit,source_table,source_script_or_report,extraction_or_derivation,valid_when,missing_value_meaning,fidelity_level,sample_role,future_training_role,definition_status,notes
tmm_max_transmission_angle_450_deg,tmm_max_transmission_angle_450_deg,TMM plane-wave maximum transmission angle,deg,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means not computed; 2 valid; not dipole far field,TMM,canonical_tmm_sweep,label view only; role-specific,resolved_source_field_sparse,TMM plane-wave labels must not be called dipole far-field labels.
strict_normal_450,strict_normal_450,stored strict-normal TMM flag,bool,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,not derived here from sparse max-angle rows,TMM,canonical_tmm_sweep,label view only; role-specific,preserved_not_derived,TMM plane-wave labels must not be called dipole far-field labels.
near_normal_450,near_normal_450,stored near-normal TMM flag,bool,tmm_nominal_metrics.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,not derived here from sparse max-angle rows,TMM,canonical_tmm_sweep,label view only; role-specific,preserved_not_derived,TMM plane-wave labels must not be called dipole far-field labels.
farfield_peak_angle_deg,farfield_peak_angle_deg,FDTD dipole far-field peak angle,deg,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
farfield_angular_FWHM_deg,farfield_angular_FWHM_deg,FDTD dipole far-field angular FWHM,deg,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
eta10,eta10,FDTD angular fraction within 10 degrees,fraction,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
eta20,eta20,FDTD angular fraction within 20 degrees,fraction,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
leakage20_40,leakage20_40,FDTD angular leakage fraction 20-40 degrees,fraction,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
leakage40_60,leakage40_60,FDTD angular leakage fraction 40-60 degrees,fraction,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
residual60_plus,residual60_plus,FDTD residual fraction beyond 60 degrees,fraction,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
raw_upward_monitor_power,raw_upward_monitor_power,FDTD raw upward monitor power,arb.,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,not extraction efficiency; blank means unavailable,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_external_reference,TMM plane-wave labels must not be called dipole far-field labels.
spectral_FWHM_label_status,spectral_FWHM_label_status,FDTD spectral FWHM availability status,category,fdtd_validation.csv,scripts/build_mdc_ml_database_v1.py; datasets/mdc_ml_database_v1/schema.json; reports/mdc_defect_450/mdc_ml_database_v1.md,copy of existing source field; no simulation or imputation,source field is nonblank and quality policy permits,single-wavelength cases are not available,FDTD,fdtd_external_high_fidelity_reference,label view only; role-specific,resolved_status,TMM plane-wave labels must not be called dipole far-field labels.
