planned_candidate_id,role,nearest_physics_candidate_id,normalized_distance_to_nearest_physics,boundary_coordinate_count,expected_phase_direction,information_gain_basis,surrogate_status
LP_5D_PHASE_REACHABILITY_V2_01,LOW_PHASE_EXTREME,LPML_R1_PHASE_REGION_154,0.2499970710897654,3,LOWER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_13,PHASE_PROJECTOR_TRADEOFF,LPML_R1_GLOBAL_SOBOL_037,0.25,1,TRADEOFF,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_14,PHASE_PROJECTOR_TRADEOFF,LPML_R1_GLOBAL_SOBOL_073,0.24999889785851698,0,TRADEOFF,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_15,PHASE_PROJECTOR_TRADEOFF,LPML_R1_GLOBAL_SOBOL_077,0.17351136841095652,0,TRADEOFF,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_16,PHASE_PROJECTOR_TRADEOFF,LPML_R1_PHASE_REGION_136,0.2699556262932974,0,TRADEOFF,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_17,5D_BOUNDARY_SPARSE_REGION,LPML_R1_GLOBAL_SOBOL_001,0.24357538745993718,3,LOWER_OR_HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_18,5D_BOUNDARY_SPARSE_REGION,LPML_R1_GLOBAL_SOBOL_001,0.349040068439511,2,LOWER_OR_HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_19,5D_BOUNDARY_SPARSE_REGION,LPML_R1_GLOBAL_SOBOL_049,0.39417170896626,2,LOWER_OR_HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_20,5D_BOUNDARY_SPARSE_REGION,LPML_R1_GLOBAL_SOBOL_049,0.30474798793327906,2,LOWER_OR_HIGHER,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_21,DISAGREEMENT_PHYSICS_CONTROL,LPML_R1_GLOBAL_SOBOL_029,0.24113895780552863,0,CONTROL,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_22,DISAGREEMENT_PHYSICS_CONTROL,LPML_R1_GLOBAL_SOBOL_077,0.12057131462459657,0,CONTROL,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_23,DISAGREEMENT_PHYSICS_CONTROL,LPML_R1_GLOBAL_SOBOL_116,0.25,0,CONTROL,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
LP_5D_PHASE_REACHABILITY_V2_24,DISAGREEMENT_PHYSICS_CONTROL,LPML_R1_GLOBAL_SOBOL_125,0.2711165155610855,0,CONTROL,real extrema + sparse-boundary coverage + frozen 5D lattice; no surrogate physics,UNAVAILABLE_STORED_COMPLEX_TXX_MISSING
