scan_stage,topology,seed_candidate,N_GaN,N_Air,H_nm,L_nm,C_nm,M,termination_code,layer_sequence,sequence_hash,predicted_unique_geometry_count,method,wavelength_scope,angle_scope,tolerance_required,purpose,priority
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L79_H44,3,3,44,79,,3,canonical_orientation,"[""H44"",""L79"",""H44"",""L79"",""H44"",""L316"",""H44"",""L79"",""H44"",""L79"",""H44"",""L79""]",867fb2cd12100bca,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L79_H44,4,2,44,79,,3,canonical_orientation,"[""H44"",""L79"",""H44"",""L79"",""H44"",""L79"",""H44"",""L316"",""H44"",""L79"",""H44"",""L79""]",7507b451e8f6c95f,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P1_asymmetric_mirror,ZL-1,ZL1_N3_M3_L79_H44,5,1,44,79,,3,canonical_orientation,"[""H44"",""L79"",""H44"",""L79"",""H44"",""L79"",""H44"",""L79"",""H44"",""L316"",""H44"",""L79""]",32e3694ecaefd854,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,discrete defect-position/asymmetric mirror-strength screen,P1
P2_termination_order,Explicit,EX_N3_L79_H45_C156,3,3,45,79,156,,GaN_H__Air_L,"[""H45"",""L79"",""H45"",""L79"",""H45"",""L79"",""C156"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",e036ee0fd499032a,1,Native-M1 TMM spectral,420-480 nm,0 deg,no,termination/order control,P2
P2_termination_order,Explicit,EX_N3_L79_H45_C156,3,3,45,79,156,,GaN_L__Air_H,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C156"",""L79"",""H45"",""L79"",""H45"",""L79"",""H45""]",2129fecf4bed63ef,1,Native-M1 TMM spectral,420-480 nm,0 deg,no,termination/order control,P2
P2_termination_order,ZL-1,ZL1_N3_M3_L78_H46,3,3,46,78,,3,full_reversal_control,"[""L78"",""H46"",""L78"",""H46"",""L78"",""H46"",""L312"",""H46"",""L78"",""H46"",""L78"",""H46""]",278e99ae177560db,1,Native-M1 TMM spectral,420-480 nm,0 deg,no,termination/order control,P2
P2_termination_order,ZL-1,ZL1_N3_M3_L79_H44,3,3,44,79,,3,full_reversal_control,"[""L79"",""H44"",""L79"",""H44"",""L79"",""H44"",""L316"",""H44"",""L79"",""H44"",""L79"",""H44""]",f691e7170843f669,1,Native-M1 TMM spectral,420-480 nm,0 deg,no,termination/order control,P2
P3_explicit_C_gap,Explicit,EX_N3_L79_H45_C156,3,3,45,79,150,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C150"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",07364e41df17b1cb,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,fill explicit C boundary gaps without duplicating 152-162 nm,P3
P3_explicit_C_gap,Explicit,EX_N3_L79_H45_C156,3,3,45,79,151,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C151"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",a36da825f19e4c66,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,fill explicit C boundary gaps without duplicating 152-162 nm,P3
P3_explicit_C_gap,Explicit,EX_N3_L79_H45_C156,3,3,45,79,163,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C163"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",d1ff1a3633aaf64e,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,fill explicit C boundary gaps without duplicating 152-162 nm,P3
P3_explicit_C_gap,Explicit,EX_N3_L79_H45_C156,3,3,45,79,164,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C164"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",d7c5e3cdac0e85c9,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,fill explicit C boundary gaps without duplicating 152-162 nm,P3
P3_explicit_C_gap,Explicit,EX_N3_L79_H45_C156,3,3,45,79,165,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C165"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",26489626e28c7ff6,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,fill explicit C boundary gaps without duplicating 152-162 nm,P3
P3_explicit_C_gap,Explicit,EX_N3_L79_H45_C156,3,3,45,79,166,,canonical_orientation,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H45"",""C166"",""H45"",""L79"",""H45"",""L79"",""H45"",""L79""]",6e5b7f312d1bcf71,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,fill explicit C boundary gaps without duplicating 152-162 nm,P3
P4_grouped_chirp,Explicit,EX_N3_L79_H45_C156,3,3,45,79,156,,outer_plus1_inner_minus1_center0,"[""L80"",""H46"",""L78"",""H44"",""L78"",""H45"",""C156"",""H45"",""L78"",""H44"",""L78"",""H46"",""L80""]",4244523ad185eb8f,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,Explicit,EX_N3_L79_H45_C156,3,3,45,79,156,,outer_minus1_inner_plus1_center0,"[""L78"",""H44"",""L80"",""H46"",""L80"",""H45"",""C156"",""H45"",""L80"",""H46"",""L80"",""H44"",""L78""]",92a7368a0071f892,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,Explicit,EX_N3_L79_H45_C156,3,3,45,79,156,,center_adjacent_plus1,"[""L79"",""H45"",""L79"",""H45"",""L79"",""H46"",""C156"",""H46"",""L79"",""H45"",""L79"",""H45"",""L79""]",0bb88b895398c955,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,ZL-1,ZL1_N3_M3_L78_H46,3,3,46,78,,3,outer_plus1_inner_minus1_center0,"[""H47"",""L79"",""H45"",""L77"",""H46"",""L312"",""H46"",""L77"",""H45"",""L77"",""H47"",""L79""]",04326d7da07ba4e0,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,ZL-1,ZL1_N3_M3_L78_H46,3,3,46,78,,3,outer_minus1_inner_plus1_center0,"[""H45"",""L77"",""H47"",""L79"",""H46"",""L312"",""H46"",""L79"",""H47"",""L79"",""H45"",""L77""]",fa961a2adb1b4668,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,ZL-1,ZL1_N3_M3_L78_H46,3,3,46,78,,3,center_adjacent_plus1,"[""H46"",""L78"",""H46"",""L78"",""H47"",""L312"",""H47"",""L78"",""H46"",""L78"",""H46"",""L78""]",d6979739bf2df7b9,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,ZL-1,ZL1_N3_M3_L79_H44,3,3,44,79,,3,outer_plus1_inner_minus1_center0,"[""H45"",""L80"",""H43"",""L78"",""H44"",""L316"",""H44"",""L78"",""H43"",""L78"",""H45"",""L80""]",ca40bf79a79560fc,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,ZL-1,ZL1_N3_M3_L79_H44,3,3,44,79,,3,outer_minus1_inner_plus1_center0,"[""H43"",""L78"",""H45"",""L80"",""H44"",""L316"",""H44"",""L80"",""H45"",""L80"",""H43"",""L78""]",ae89e93dbe423b1b,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
P4_grouped_chirp,ZL-1,ZL1_N3_M3_L79_H44,3,3,44,79,,3,center_adjacent_plus1,"[""H44"",""L79"",""H44"",""L79"",""H45"",""L316"",""H45"",""L79"",""H44"",""L79"",""H44"",""L79""]",958c889d33b502d6,1,Native-M1 TMM spectral,420-480 nm,0 deg,yes,"low-dimensional grouped/chirped grammar; offsets encoded by termination_code, ±1 nm only",P4
